Variant,N,OddsWeight,ModelWeight,StreckMeasured,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U
odds_only,2978,1.0,0.0,False,0.4882471457353929,1.0250710520770097,0.6154409262796849,0.5735392881128274,0.2617177514243623,0.25453324378777703,0.18966527562394522,0.0,0.0,0.0,0.0,0.0,0.0
model_only,2978,0.0,1.0,False,0.4738079247817327,1.0467622638035314,0.6301009572627552,0.45433176628609806,0.2700388857192576,0.25453324378777703,0.19030244143483577,0.021691211726521775,0.014354824520687537,0.028326423587893463,0.014660030983070227,0.009538606666786706,0.019309978635080428
production_blend,2978,0.5882352941176471,0.4117647058823529,False,0.4855607790463398,1.0293749996704291,0.6179710999023864,0.47985224983210206,0.26514410083990747,0.25453324378777703,0.1896327307411959,0.004303947593419455,0.0012974814579191586,0.007056452282020806,0.0025301736227014704,0.00044730907227238936,0.004378525656984905
sweep_w_star,2978,1.0,0.0,False,0.4882471457353929,1.0250710520770097,0.6154409262796849,0.5735392881128274,0.26171775142436227,0.25453324378777703,0.18966527562394522,0.0,-4.440892098500626e-16,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16
