League,Season,Variant,N,OddsWeight,ModelWeight,StreckMeasured,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U
E0,2425,odds_only,173,1.0,0.0,False,0.5780346820809249,0.949308787403607,0.5630013653383769,0.6069364161849711,0.23224418357229573,0.19653179190751446,0.15992311465166667,0.0,0.0,0.0,0.0,0.0,0.0
E0,2425,model_only,173,0.0,1.0,False,0.5491329479768786,1.0343628232055322,0.6193374579635479,0.630057803468208,0.2845892044451304,0.19653179190751446,0.16905892633538674,0.08505403580192517,0.04559978400990381,0.12481019681426055,0.05633609262517103,0.027685776535103297,0.08448552919369111
E0,2425,production_blend,173,0.5882352941176471,0.4117647058823529,False,0.5722543352601156,0.9747198700411599,0.5783445117272176,0.6184971098265896,0.25379801569640414,0.19653179190751446,0.16250199686811798,0.025411082637552873,0.00903837278751372,0.04187590549438547,0.015343146388840712,0.00388175389489378,0.026555808842266687
E0,2526,odds_only,380,1.0,0.0,False,0.48947368421052634,1.018547433594444,0.6115122077213379,0.6263157894736842,0.24438459158544001,0.2736842105263158,0.20001913183746164,0.0,0.0,0.0,0.0,0.0,0.0
E0,2526,model_only,380,0.0,1.0,False,0.4842105263157895,1.0350723647104336,0.6227140346889201,0.4263157894736842,0.2612434085306434,0.2736842105263158,0.19884873737639316,0.016524931115989627,-0.006807309841078702,0.040817947990075966,0.011201826967582207,-0.00527823433677099,0.02834794822078886
E0,2526,production_blend,380,0.5882352941176471,0.4117647058823529,False,0.4921052631578947,1.0186527051761431,0.6106502868858972,0.4842105263157895,0.25132645738640613,0.2736842105263158,0.19912408756104807,0.00010527158169915118,-0.009580687467040976,0.009860081696735343,-0.0008619208354406771,-0.007418541387818492,0.005940025820384423
E1,2425,odds_only,241,1.0,0.0,False,0.4896265560165975,1.034445417635143,0.621184155276919,0.6348547717842323,0.269417547403771,0.23651452282157676,0.1823178161591807,0.0,0.0,0.0,0.0,0.0,0.0
E1,2425,model_only,241,0.0,1.0,False,0.46887966804979253,1.055085198221493,0.6359368402372827,0.5684647302904564,0.2911217271963827,0.23651452282157676,0.18491925929979078,0.020639780586350076,-0.00415625664438406,0.04650642123757661,0.014752684960363749,-0.0030708032764557246,0.03318148303877346
E1,2425,production_blend,241,0.5882352941176471,0.4117647058823529,False,0.48132780082987553,1.0378038843613917,0.6236533092740962,0.5933609958506224,0.2783545626124935,0.23651452282157676,0.1828630842571396,0.003358466726248732,-0.007252308864736129,0.014110903201420825,0.002469153997177287,-0.004851940627577264,0.009906009673144896
E1,2526,odds_only,552,1.0,0.0,False,0.46195652173913043,1.0415542794959176,0.6285401834569189,0.5760869565217391,0.264534452639793,0.2644927536231884,0.19545186161086917,0.0,0.0,0.0,0.0,0.0,0.0
E1,2526,model_only,552,0.0,1.0,False,0.4311594202898551,1.06988102406763,0.6470491811651221,0.3804347826086957,0.265482657826139,0.2644927536231884,0.19558969924253358,0.02832674457171236,0.01097465617355139,0.045771166550305595,0.018508997708203245,0.006229344273220314,0.030537879387989394
E1,2526,production_blend,552,0.5882352941176471,0.4117647058823529,False,0.44021739130434784,1.0481288359254202,0.6322794040280626,0.4166666666666667,0.2649248900694649,0.2644927536231884,0.19529574875431993,0.006574556429502554,-0.0008273337389173129,0.013605559953066792,0.003739220571143731,-0.0012886707377305544,0.008620978666957628
