Fold,Train_N,Test_N,Paired_N,Variant,N,OddsWeight,ModelWeight,StreckMeasured,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U
1,1094,942,942,odds_only,942,1.0,0.0,False,0.4851380042462845,1.0235960227908607,0.6137641339548481,0.6093418259023354,0.26202029359298695,0.24628450106157113,0.1850363618046408,0.0,0.0,0.0,0.0,0.0,0.0
1,1094,942,942,model_only,942,0.0,1.0,False,0.46709129511677283,1.0516110599308586,0.6329731797738601,0.589171974522293,0.28705299872861445,0.24628450106157113,0.1871659120612061,0.028015037139997867,0.014308246597757984,0.04167657738214175,0.01920904581901206,0.009517733920601804,0.0286302350823016
1,1094,942,942,production_blend,942,0.5882352941176471,0.4117647058823529,False,0.4840764331210191,1.0296986184545451,0.6176048321738217,0.5796178343949044,0.2723278780605982,0.24628450106157113,0.18535591241910104,0.006102595663684429,0.0003966993538643326,0.011740348542077094,0.0038406982189735928,-0.0001582760791529275,0.007678074268292935
2,2036,1055,1055,odds_only,1055,1.0,0.0,False,0.4758293838862559,1.0366948109667107,0.6235779361713597,0.5497630331753555,0.2647048300449762,0.25497630331753557,0.18978786269168885,0.0,0.0,0.0,0.0,0.0,0.0
2,2036,1055,1055,model_only,1055,0.0,1.0,False,0.47014218009478675,1.050833936189084,0.6329594285289525,0.44549763033175355,0.26752304272236316,0.25497630331753557,0.19049001008919267,0.014139125222373261,0.002735046652288231,0.026206793906482718,0.00938149235759278,0.0014120429207360398,0.017968670374917745
2,2036,1055,1055,production_blend,1055,0.5882352941176471,0.4117647058823529,False,0.4767772511848341,1.0378065598419013,0.623905368392877,0.43412322274881515,0.26586527055919434,0.25497630331753557,0.18986177390721887,0.0011117488751906102,-0.0034743765868574636,0.006179795638030927,0.0003274322215173209,-0.0029639700913391353,0.003769042434635006
3,3091,981,981,odds_only,981,1.0,0.0,False,0.5045871559633027,1.0139868644714212,0.6083002462942412,0.564729867482161,0.25821483331264766,0.2619775739041794,0.19397833114006668,0.0,0.0,0.0,0.0,0.0,0.0
3,3091,981,981,model_only,981,0.0,1.0,False,0.48521916411824667,1.0401027588866876,0.6257992094274507,0.3669724770642202,0.25982780270852046,0.2619775739041794,0.19358616544474352,0.026115894415266405,0.015362972273855607,0.03709896209378545,0.017498963133209533,0.010016037755462892,0.025366995148243476
3,3091,981,981,production_blend,981,0.5882352941176471,0.4117647058823529,False,0.49949031600407745,1.0209621202474848,0.6125885188533393,0.44954128440366975,0.2588789971815365,0.2619775739041794,0.1935897898459329,0.006975255776063616,0.002386712242325989,0.011571795930619843,0.0042882725590981385,0.0012601734509000984,0.00748072128658249
