Fold,Train_N,Test_N,Paired_N,Variant,FeatureSet,LeagueRepresentation,N,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U,Delta_LogLoss_vs_None,Delta_LogLoss_vs_None_CI95_L,Delta_LogLoss_vs_None_CI95_U,Delta_Brier_vs_None,Delta_Brier_vs_None_CI95_L,Delta_Brier_vs_None_CI95_U,Delta_LogLoss_vs_Ordinal,Delta_LogLoss_vs_Ordinal_CI95_L,Delta_LogLoss_vs_Ordinal_CI95_U,Delta_Brier_vs_Ordinal,Delta_Brier_vs_Ordinal_CI95_L,Delta_Brier_vs_Ordinal_CI95_U
1,1094,942,942,Odds,reference,odds,942,0.4851380042462845,1.0235960227908607,0.6137641339548481,0.6093418259023354,0.2620202935929869,0.24628450106157113,0.18503636180464078,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1,1094,942,942,base/league_none,base,league_none,942,0.46602972399150744,1.0506709458146322,0.6324635315429689,0.5668789808917197,0.2856106496286201,0.24628450106157113,0.1867066609775657,0.027074923023771458,0.014067079590995351,0.040494118607835465,0.01869939758812078,0.009448353512411254,0.0283114823776881,0.0,0.0,0.0,0.0,0.0,0.0,-8.029663358377626e-05,-0.0003062961003861553,0.0001542065512970035,-7.144243212442447e-05,-0.0002237709328146431,7.774463846625112e-05
1,1094,942,942,base/league_ordinal,base,league_ordinal,942,0.4681528662420382,1.050751242448216,0.6325349739750933,0.5679405520169851,0.28575867872530136,0.24628450106157113,0.18675518466190985,0.027155219657355234,0.014145083850418749,0.04068741581925849,0.018770840020245205,0.009455333301604352,0.02840476250059732,8.029663358377626e-05,-0.00015420655129700367,0.00030629610038615524,7.144243212442447e-05,-7.774463846625112e-05,0.00022377093281464305,0.0,0.0,0.0,0.0,0.0,0.0
1,1094,942,942,base/league_onehot,base,league_onehot,942,0.46602972399150744,1.049074181473816,0.6312357444707842,0.5997876857749469,0.287958428431078,0.24628450106157113,0.18694956932083345,0.025478158682955332,0.012519464891615262,0.03884716259207803,0.017471610515936153,0.008333224794928465,0.02685966952136463,-0.0015967643408161258,-0.003275932965132172,8.909397720721591e-05,-0.0012277870721846273,-0.002334679451095406,-0.00013257896003494578,-0.001677060974399902,-0.003314725516324851,-3.16148861222443e-05,-0.0012992295043090518,-0.002360211908641516,-0.00023307207540383305
1,1094,942,942,with_odds/league_none,with_odds,league_none,942,0.47664543524416136,1.0401314918879205,0.6243166266977677,0.6656050955414012,0.284092358672575,0.24628450106157113,0.18657160398323835,0.01653546909705983,0.007640246924283806,0.025588074835111572,0.010552492742919584,0.004445359671409382,0.017003417874945553,0.0,0.0,0.0,0.0,0.0,0.0,0.0001590385785508186,-0.00012480833776587485,0.00045493281721211673,0.00011758420148400006,-6.932564536845099e-05,0.00030547159308466626
1,1094,942,942,with_odds/league_ordinal,with_odds,league_ordinal,942,0.47876857749469215,1.0399724533093697,0.6241990424962837,0.6602972399150743,0.2840867243929561,0.24628450106157113,0.18657002057682695,0.01637643051850901,0.007507137266940989,0.02541968185461876,0.010434908541435584,0.004344891339712461,0.016795959829716343,-0.0001590385785508186,-0.000454932817212117,0.00012480833776587472,-0.00011758420148400006,-0.0003054715930846663,6.932564536845096e-05,0.0,0.0,0.0,0.0,0.0,0.0
1,1094,942,942,with_odds/league_onehot,with_odds,league_onehot,942,0.4745222929936306,1.0399233154735432,0.6243206121673746,0.6804670912951167,0.2846590267489284,0.24628450106157113,0.18667377420410505,0.016327292682682515,0.007470673720288784,0.025495835943319663,0.010556478212526477,0.0044170515049616,0.017094073180765078,-0.0002081764143773146,-0.0014734472290040934,0.0011378726356758237,3.985469606893055e-06,-0.0008634188686765049,0.0009196796830768288,-4.9137835826496e-05,-0.0012766414120451764,0.0012191109583498383,0.00012156967109089312,-0.0007191676522553869,0.001006320336352569
2,2036,1055,1055,Odds,reference,odds,1055,0.4758293838862559,1.0366948109667107,0.6235779361713597,0.5497630331753555,0.2647048300449762,0.25497630331753557,0.18978786269168887,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2,2036,1055,1055,base/league_none,base,league_none,1055,0.46919431279620855,1.0504024448462088,0.6326731425171722,0.4322274881516588,0.2662278217166874,0.25497630331753557,0.1904477498737515,0.013707633879498138,0.001961069622773176,0.025569603300273854,0.009095206345812512,0.0009279436370699779,0.017340532559537113,0.0,0.0,0.0,0.0,0.0,0.0,9.997642780756877e-05,-0.0005497428171878926,0.0007351371985685582,8.969053009144634e-05,-0.0003744312009432538,0.000542657159836412
2,2036,1055,1055,base/league_ordinal,base,league_ordinal,1055,0.4663507109004739,1.0503024684184012,0.6325834519870808,0.43317535545023694,0.2664095571077346,0.25497630331753557,0.19037833210489694,0.013607657451690569,0.0021270006039871615,0.025612885605284175,0.009005515815721066,0.0008591535643676873,0.01732959398413268,-9.997642780756877e-05,-0.0007351371985685584,0.0005497428171878925,-8.969053009144634e-05,-0.0005426571598364128,0.0003744312009432538,0.0,0.0,0.0,0.0,0.0,0.0
