Source,Selection,Tau,TauLabel,IsCurrentRule,Coupons_N,MeanCorrect,MedianCorrect,Correct,Coupons_with_Correct,Share
odds_only,all,0.25,0.25,False,228,9.68859649122807,10.0,9,56,0.24561403508771928
odds_only,all,0.25,0.25,False,228,9.68859649122807,10.0,10,54,0.23684210526315788
odds_only,all,0.25,0.25,False,228,9.68859649122807,10.0,11,51,0.2236842105263158
odds_only,all,0.25,0.25,False,228,9.68859649122807,10.0,12,20,0.08771929824561403
odds_only,all,0.25,0.25,False,228,9.68859649122807,10.0,13,3,0.013157894736842105
odds_only,all,0.3,0.30,False,228,9.964912280701755,10.0,0,0,0.0
odds_only,all,0.3,0.30,False,228,9.964912280701755,10.0,1,0,0.0
odds_only,all,0.3,0.30,False,228,9.964912280701755,10.0,2,0,0.0
odds_only,all,0.3,0.30,False,228,9.964912280701755,10.0,3,0,0.0
odds_only,all,0.3,0.30,False,228,9.964912280701755,10.0,4,0,0.0
odds_only,all,0.3,0.30,False,228,9.964912280701755,10.0,5,0,0.0
odds_only,all,0.3,0.30,False,228,9.964912280701755,10.0,6,5,0.021929824561403508
odds_only,all,0.3,0.30,False,228,9.964912280701755,10.0,7,13,0.05701754385964912
odds_only,all,0.3,0.30,False,228,9.964912280701755,10.0,8,26,0.11403508771929824
odds_only,all,0.3,0.30,False,228,9.964912280701755,10.0,9,37,0.16228070175438597
odds_only,all,0.3,0.30,False,228,9.964912280701755,10.0,10,51,0.2236842105263158
odds_only,all,0.3,0.30,False,228,9.964912280701755,10.0,11,57,0.25
odds_only,all,0.3,0.30,False,228,9.964912280701755,10.0,12,34,0.14912280701754385
odds_only,all,0.3,0.30,False,228,9.964912280701755,10.0,13,5,0.021929824561403508
odds_only,all,1.0,1.00,True,228,9.951754385964913,10.0,0,0,0.0
odds_only,all,1.0,1.00,True,228,9.951754385964913,10.0,1,0,0.0
odds_only,all,1.0,1.00,True,228,9.951754385964913,10.0,2,0,0.0
odds_only,all,1.0,1.00,True,228,9.951754385964913,10.0,3,0,0.0
odds_only,all,1.0,1.00,True,228,9.951754385964913,10.0,4,0,0.0
odds_only,all,1.0,1.00,True,228,9.951754385964913,10.0,5,0,0.0
odds_only,all,1.0,1.00,True,228,9.951754385964913,10.0,6,4,0.017543859649122806
odds_only,all,1.0,1.00,True,228,9.951754385964913,10.0,7,17,0.07456140350877193
odds_only,all,1.0,1.00,True,228,9.951754385964913,10.0,8,22,0.09649122807017543
odds_only,all,1.0,1.00,True,228,9.951754385964913,10.0,9,41,0.17982456140350878
odds_only,all,1.0,1.00,True,228,9.951754385964913,10.0,10,50,0.21929824561403508
odds_only,all,1.0,1.00,True,228,9.951754385964913,10.0,11,53,0.2324561403508772
odds_only,all,1.0,1.00,True,228,9.951754385964913,10.0,12,35,0.15350877192982457
odds_only,all,1.0,1.00,True,228,9.951754385964913,10.0,13,6,0.02631578947368421
odds_only,top7of13,0.0,0.00,False,228,8.241228070175438,8.0,0,0,0.0
odds_only,top7of13,0.0,0.00,False,228,8.241228070175438,8.0,1,0,0.0
odds_only,top7of13,0.0,0.00,False,228,8.241228070175438,8.0,2,0,0.0
odds_only,top7of13,0.0,0.00,False,228,8.241228070175438,8.0,3,0,0.0
odds_only,top7of13,0.0,0.00,False,228,8.241228070175438,8.0,4,2,0.008771929824561403
odds_only,top7of13,0.0,0.00,False,228,8.241228070175438,8.0,5,8,0.03508771929824561
odds_only,top7of13,0.0,0.00,False,228,8.241228070175438,8.0,6,26,0.11403508771929824
odds_only,top7of13,0.0,0.00,False,228,8.241228070175438,8.0,7,40,0.17543859649122806
odds_only,top7of13,0.0,0.00,False,228,8.241228070175438,8.0,8,57,0.25
odds_only,top7of13,0.0,0.00,False,228,8.241228070175438,8.0,9,39,0.17105263157894737
odds_only,top7of13,0.0,0.00,False,228,8.241228070175438,8.0,10,34,0.14912280701754385
odds_only,top7of13,0.0,0.00,False,228,8.241228070175438,8.0,11,17,0.07456140350877193
odds_only,top7of13,0.0,0.00,False,228,8.241228070175438,8.0,12,4,0.017543859649122806
odds_only,top7of13,0.0,0.00,False,228,8.241228070175438,8.0,13,1,0.0043859649122807015
odds_only,top7of13,0.1,0.10,False,228,8.241228070175438,8.0,0,0,0.0
odds_only,top7of13,0.1,0.10,False,228,8.241228070175438,8.0,1,0,0.0
odds_only,top7of13,0.1,0.10,False,228,8.241228070175438,8.0,2,0,0.0
odds_only,top7of13,0.1,0.10,False,228,8.241228070175438,8.0,3,0,0.0
odds_only,top7of13,0.1,0.10,False,228,8.241228070175438,8.0,4,2,0.008771929824561403
odds_only,top7of13,0.1,0.10,False,228,8.241228070175438,8.0,5,8,0.03508771929824561
odds_only,top7of13,0.1,0.10,False,228,8.241228070175438,8.0,6,26,0.11403508771929824
odds_only,top7of13,0.1,0.10,False,228,8.241228070175438,8.0,7,40,0.17543859649122806
odds_only,top7of13,0.1,0.10,False,228,8.241228070175438,8.0,8,57,0.25
odds_only,top7of13,0.1,0.10,False,228,8.241228070175438,8.0,9,39,0.17105263157894737
odds_only,top7of13,0.1,0.10,False,228,8.241228070175438,8.0,10,34,0.14912280701754385
odds_only,top7of13,0.1,0.10,False,228,8.241228070175438,8.0,11,17,0.07456140350877193
odds_only,top7of13,0.1,0.10,False,228,8.241228070175438,8.0,12,4,0.017543859649122806
odds_only,top7of13,0.1,0.10,False,228,8.241228070175438,8.0,13,1,0.0043859649122807015
odds_only,top7of13,0.15,0.15,False,228,8.241228070175438,8.0,0,0,0.0
odds_only,top7of13,0.15,0.15,False,228,8.241228070175438,8.0,1,0,0.0
odds_only,top7of13,0.15,0.15,False,228,8.241228070175438,8.0,2,0,0.0
odds_only,top7of13,0.15,0.15,False,228,8.241228070175438,8.0,3,0,0.0
odds_only,top7of13,0.15,0.15,False,228,8.241228070175438,8.0,4,2,0.008771929824561403
odds_only,top7of13,0.15,0.15,False,228,8.241228070175438,8.0,5,8,0.03508771929824561
odds_only,top7of13,0.15,0.15,False,228,8.241228070175438,8.0,6,26,0.11403508771929824
odds_only,top7of13,0.15,0.15,False,228,8.241228070175438,8.0,7,40,0.17543859649122806
odds_only,top7of13,0.15,0.15,False,228,8.241228070175438,8.0,8,57,0.25
odds_only,top7of13,0.15,0.15,False,228,8.241228070175438,8.0,9,39,0.17105263157894737
odds_only,top7of13,0.15,0.15,False,228,8.241228070175438,8.0,10,34,0.14912280701754385
odds_only,top7of13,0.15,0.15,False,228,8.241228070175438,8.0,11,17,0.07456140350877193
odds_only,top7of13,0.15,0.15,False,228,8.241228070175438,8.0,12,4,0.017543859649122806
odds_only,top7of13,0.15,0.15,False,228,8.241228070175438,8.0,13,1,0.0043859649122807015
odds_only,top7of13,0.2,0.20,False,228,8.241228070175438,8.0,0,0,0.0
odds_only,top7of13,0.2,0.20,False,228,8.241228070175438,8.0,1,0,0.0
odds_only,top7of13,0.2,0.20,False,228,8.241228070175438,8.0,2,0,0.0
odds_only,top7of13,0.2,0.20,False,228,8.241228070175438,8.0,3,0,0.0
odds_only,top7of13,0.2,0.20,False,228,8.241228070175438,8.0,4,2,0.008771929824561403
odds_only,top7of13,0.2,0.20,False,228,8.241228070175438,8.0,5,8,0.03508771929824561
odds_only,top7of13,0.2,0.20,False,228,8.241228070175438,8.0,6,26,0.11403508771929824
odds_only,top7of13,0.2,0.20,False,228,8.241228070175438,8.0,7,40,0.17543859649122806
odds_only,top7of13,0.2,0.20,False,228,8.241228070175438,8.0,8,57,0.25
odds_only,top7of13,0.2,0.20,False,228,8.241228070175438,8.0,9,39,0.17105263157894737
odds_only,top7of13,0.2,0.20,False,228,8.241228070175438,8.0,10,34,0.14912280701754385
odds_only,top7of13,0.2,0.20,False,228,8.241228070175438,8.0,11,17,0.07456140350877193
odds_only,top7of13,0.2,0.20,False,228,8.241228070175438,8.0,12,4,0.017543859649122806
odds_only,top7of13,0.2,0.20,False,228,8.241228070175438,8.0,13,1,0.0043859649122807015
odds_only,top7of13,0.25,0.25,False,228,8.267543859649123,8.0,0,0,0.0
odds_only,top7of13,0.25,0.25,False,228,8.267543859649123,8.0,1,0,0.0
odds_only,top7of13,0.25,0.25,False,228,8.267543859649123,8.0,2,0,0.0
odds_only,top7of13,0.25,0.25,False,228,8.267543859649123,8.0,3,0,0.0
odds_only,top7of13,0.25,0.25,False,228,8.267543859649123,8.0,4,2,0.008771929824561403
odds_only,top7of13,0.25,0.25,False,228,8.267543859649123,8.0,5,6,0.02631578947368421
