League,Season,Variant,N,Accuracy,LogLoss,Brier,X_precision,X_recall,Delta_LogLoss_vs_Odds,Delta_Brier_vs_Odds,Delta_LogLoss_CI95_L,Delta_LogLoss_CI95_U,Delta_Brier_CI95_L,Delta_Brier_CI95_U
E0,2425,Model,173,0.5606936416184971,1.0292896941951706,0.6161380409826268,0.0,0.0,0.07998090679156356,0.05313667564424995,0.0389792136364469,0.12364352330590832,0.024149268547647255,0.0838617685483351
E0,2425,Odds,173,0.5780346820809249,0.949308787403607,0.5630013653383769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E0,2425,Model+Odds,173,0.5491329479768786,0.9976564405276208,0.5939808702872849,0.0,0.0,0.04834765312401379,0.030979504948908,0.016508693733443845,0.07903697681365236,0.008609575873219146,0.052066181499863265
E0,2526,Model,380,0.4842105263157895,1.0360065976400363,0.6231482471838687,0.0,0.0,0.017459164045592335,0.011636039462531,-0.0056490917962787185,0.04212377907164258,-0.004900005824889161,0.02901095941425093
E0,2526,Odds,380,0.48947368421052634,1.018547433594444,0.6115122077213377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E0,2526,Model+Odds,380,0.4789473684210526,1.018365055810483,0.6113730102888596,0.0,0.0,-0.00018237778396090754,-0.0001391974324781442,-0.01276711762542341,0.012272819046415515,-0.008065602066336528,0.007830734812685747
E1,2425,Model,241,0.4730290456431535,1.051381012494874,0.6333633252767707,0.0,0.0,0.01693559485973073,0.012179169999851691,-0.009951136691299616,0.04309969383384552,-0.006535939899077125,0.0305473856891011
E1,2425,Odds,241,0.4896265560165975,1.0344454176351432,0.6211841552769191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E1,2425,Model+Odds,241,0.4854771784232365,1.042089385817989,0.6258306416932459,0.0,0.0,0.0076439681828457395,0.004646486416326812,-0.010588227044910333,0.024669609323733892,-0.007878616000721508,0.017010790261849883
E1,2526,Model,552,0.4257246376811594,1.0692220587483938,0.6467721355037093,0.0,0.0,0.02766777925247621,0.0182319520467904,0.00912504679738106,0.04489830318457331,0.005173905478008528,0.030303250976530225
E1,2526,Odds,552,0.46195652173913043,1.0415542794959176,0.6285401834569189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E1,2526,Model+Odds,552,0.44565217391304346,1.0530233203371733,0.6360384708457633,0.0,0.0,0.011469040841255662,0.0074982873888443935,0.0032643666472037002,0.019929447898458016,0.002215217223816829,0.012709645029862465
E2,2425,Model,264,0.4659090909090909,1.041862649518891,0.6270734266971402,0.0,0.0,0.0209856202030807,0.014713652497905572,-0.003536528397697794,0.043403907215898985,-0.0029165055173884474,0.030764333111449063
E2,2425,Odds,264,0.48484848484848486,1.0208770293158103,0.6123597741992346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2,2425,Model+Odds,264,0.4772727272727273,1.029645833684225,0.6178163434374839,0.0,0.0,0.008768804368414651,0.005456569238249331,-0.006710579596732874,0.023571458016409287,-0.005069783104993721,0.01634618506174096
E2,2526,Model,552,0.4891304347826087,1.0374364726358278,0.6231289392935252,0.0,0.0,0.01859137826377899,0.013449620794839467,0.005905221365423978,0.03248540335499831,0.004611121022192584,0.023286031729473505
E2,2526,Odds,552,0.5036231884057971,1.0188450943720488,0.6096793184986857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2,2526,Model+Odds,552,0.4945652173913043,1.0266994220353745,0.6148891046332984,0.0,0.0,0.007854327663325611,0.005209786134612648,0.0009030981872720382,0.014803057230715877,0.0007773860200004559,0.009742458188104394
E3,2425,Model,264,0.4053030303030303,1.0731287492659207,0.647985296798472,0.0,0.0,0.008037264952574397,0.0063253870575924465,-0.011522047282197408,0.02798657345818684,-0.007515295036962962,0.020650524122202744
E3,2425,Odds,264,0.42045454545454547,1.0650914843133463,0.6416599097408796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E3,2425,Model+Odds,264,0.42803030303030304,1.076096381558246,0.648894349076632,0.0,0.0,0.011004897244899725,0.007234439335752407,-0.0015719512044154117,0.02533758870977319,-0.0019032195843764993,0.016131001241246373
E3,2526,Model,552,0.5090579710144928,1.0349465706767935,0.6216253261925623,0.0,0.0,0.01312472198958714,0.007956014124024358,0.00024308643421477223,0.02646033312833961,-0.0009802696307520224,0.01720149322170935
E3,2526,Odds,552,0.5036231884057971,1.0218218486872064,0.6136693120685379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E3,2526,Model+Odds,552,0.5271739130434783,1.0210361141175135,0.6122600160399082,0.0,0.0,-0.0007857345696928864,-0.001409296028629714,-0.00878858413317852,0.007569387663812558,-0.007008337227088063,0.004079334358675923
