Scope,League,Variant,Bin,N,MeanPredictedX,ObservedXRate
league,E1,with_odds/league_onehot,0.30+,61,0.3065499610276679,0.26229508196721313
league,E2,Odds,0.00-0.20,21,0.1813109367571321,0.23809523809523808
league,E2,Odds,0.20-0.25,166,0.2339797848218065,0.18674698795180722
league,E2,Odds,0.25-0.30,596,0.27425752244812496,0.2600671140939597
league,E2,Odds,0.30+,33,0.30663913177211927,0.30303030303030304
league,E2,base/league_none,0.00-0.20,0,,
league,E2,base/league_none,0.20-0.25,77,0.2429331550095997,0.23376623376623376
league,E2,base/league_none,0.25-0.30,678,0.27049608780239076,0.24041297935103245
league,E2,base/league_none,0.30+,61,0.30872625608494475,0.32786885245901637
league,E2,base/league_ordinal,0.00-0.20,0,,
league,E2,base/league_ordinal,0.20-0.25,65,0.24340548117289895,0.2
league,E2,base/league_ordinal,0.25-0.30,688,0.2699906337078051,0.2441860465116279
league,E2,base/league_ordinal,0.30+,63,0.3088396677410032,0.31746031746031744
league,E2,base/league_onehot,0.00-0.20,0,,
league,E2,base/league_onehot,0.20-0.25,79,0.24321479795448114,0.189873417721519
league,E2,base/league_onehot,0.25-0.30,650,0.2687954237187868,0.24615384615384617
league,E2,base/league_onehot,0.30+,87,0.31187742631861154,0.2988505747126437
league,E2,with_odds/league_none,0.00-0.20,0,,
league,E2,with_odds/league_none,0.20-0.25,66,0.24188497063524442,0.22727272727272727
league,E2,with_odds/league_none,0.25-0.30,728,0.2721906317939673,0.25
league,E2,with_odds/league_none,0.30+,22,0.30307000534571393,0.18181818181818182
league,E2,with_odds/league_ordinal,0.00-0.20,0,,
league,E2,with_odds/league_ordinal,0.20-0.25,65,0.2418013424707079,0.2
league,E2,with_odds/league_ordinal,0.25-0.30,731,0.2722004994788471,0.253077975376197
league,E2,with_odds/league_ordinal,0.30+,20,0.3031141453561478,0.15
league,E2,with_odds/league_onehot,0.00-0.20,0,,
league,E2,with_odds/league_onehot,0.20-0.25,69,0.24239757169272313,0.2028985507246377
league,E2,with_odds/league_onehot,0.25-0.30,719,0.27152521458244444,0.24756606397774686
league,E2,with_odds/league_onehot,0.30+,28,0.3039780787887194,0.32142857142857145
league,E3,Odds,0.00-0.20,8,0.18710204270526576,0.125
league,E3,Odds,0.20-0.25,147,0.2338881219754444,0.2857142857142857
league,E3,Odds,0.25-0.30,626,0.2756744818727673,0.2507987220447284
league,E3,Odds,0.30+,35,0.30637382272957653,0.45714285714285713
league,E3,base/league_none,0.00-0.20,0,,
league,E3,base/league_none,0.20-0.25,105,0.23988454482089844,0.2857142857142857
league,E3,base/league_none,0.25-0.30,645,0.27081434888702016,0.25736434108527134
league,E3,base/league_none,0.30+,66,0.3099461023045653,0.30303030303030304
league,E3,base/league_ordinal,0.00-0.20,0,,
league,E3,base/league_ordinal,0.20-0.25,88,0.23925033695677894,0.2727272727272727
league,E3,base/league_ordinal,0.25-0.30,659,0.27012019212992344,0.25796661608497723
league,E3,base/league_ordinal,0.30+,69,0.30967563819709193,0.3188405797101449
league,E3,base/league_onehot,0.00-0.20,0,,
league,E3,base/league_onehot,0.20-0.25,100,0.23808581770569787,0.24
league,E3,base/league_onehot,0.25-0.30,625,0.2691375058230129,0.2576
league,E3,base/league_onehot,0.30+,91,0.3142013577986519,0.34065934065934067
league,E3,with_odds/league_none,0.00-0.20,0,,
league,E3,with_odds/league_none,0.20-0.25,93,0.23921012722970017,0.22580645161290322
league,E3,with_odds/league_none,0.25-0.30,684,0.27235906129031606,0.260233918128655
league,E3,with_odds/league_none,0.30+,39,0.30410850983940435,0.4358974358974359
league,E3,with_odds/league_ordinal,0.00-0.20,0,,
league,E3,with_odds/league_ordinal,0.20-0.25,93,0.23934743950328535,0.22580645161290322
league,E3,with_odds/league_ordinal,0.25-0.30,687,0.2724942262671,0.26055312954876275
league,E3,with_odds/league_ordinal,0.30+,36,0.3041439905508701,0.4444444444444444
league,E3,with_odds/league_onehot,0.00-0.20,0,,
league,E3,with_odds/league_onehot,0.20-0.25,88,0.23935800584714573,0.20454545454545456
league,E3,with_odds/league_onehot,0.25-0.30,682,0.2719778389181328,0.26392961876832843
league,E3,with_odds/league_onehot,0.30+,46,0.3061859595223677,0.391304347826087
