fold,league,n_half_requested,n_half_effective,n_matches,gain_acc_top1,gain_acc_hg,gain_combined,gain_logloss,gain_brier,entropy_acc_top1,entropy_acc_hg,entropy_combined,entropy_logloss,entropy_brier,n_different_selections,gain_avg_gain,gain_avg_top2,gain_avg_entropy,entropy_avg_gain,entropy_avg_top2,entropy_avg_entropy
3,E0,2,2,206,0.5291,0.0,0.5291,1.0003,0.5976,0.5291,0.5,0.5291,1.0003,0.5976,4,0.3778,0.766,0.9784,0.3364,0.6875,0.9989
3,E0,4,4,206,0.5291,0.5,0.5291,1.0003,0.5976,0.5291,0.5,0.534,1.0003,0.5976,8,0.3745,0.7619,0.9801,0.3306,0.6882,0.9984
3,E0,6,6,206,0.5291,0.6667,0.534,1.0003,0.5976,0.5291,0.6667,0.5437,1.0003,0.5976,12,0.3727,0.7672,0.9774,0.3332,0.6914,0.9981
3,E1,2,2,291,0.4158,1.0,0.4192,1.0661,0.6442,0.4158,0.5,0.4158,1.0661,0.6442,4,0.3736,0.7544,0.9833,0.3322,0.6769,0.9996
3,E1,4,4,291,0.4158,0.75,0.4227,1.0661,0.6442,0.4158,0.75,0.4192,1.0661,0.6442,8,0.3706,0.7512,0.9845,0.3339,0.6805,0.9994
3,E1,6,6,291,0.4158,0.8333,0.4261,1.0661,0.6442,0.4158,0.8333,0.4261,1.0661,0.6442,12,0.3688,0.7518,0.9842,0.3365,0.6836,0.9992
3,E2,2,2,329,0.4954,0.5,0.4985,1.0312,0.6199,0.4954,0.5,0.4954,1.0312,0.6199,4,0.3787,0.7607,0.9808,0.3567,0.72,0.994
3,E2,4,4,329,0.4954,0.75,0.5015,1.0312,0.6199,0.4954,0.75,0.4954,1.0312,0.6199,8,0.3769,0.758,0.9819,0.3543,0.7255,0.9923
3,E2,6,6,329,0.4954,0.6667,0.5015,1.0312,0.6199,0.4954,0.8333,0.4954,1.0312,0.6199,12,0.3754,0.7572,0.9822,0.3539,0.7297,0.991
3,E3,2,2,335,0.409,0.5,0.4119,1.0879,0.6588,0.409,0.5,0.409,1.0879,0.6588,4,0.379,0.7587,0.9817,0.3508,0.753,0.9823
3,E3,4,4,335,0.409,0.5,0.4119,1.0879,0.6588,0.409,0.5,0.4119,1.0879,0.6588,8,0.3775,0.7589,0.9815,0.3468,0.7519,0.9822
3,E3,6,6,335,0.409,0.5,0.4119,1.0879,0.6588,0.409,0.3333,0.4119,1.0879,0.6588,10,0.3764,0.759,0.9815,0.3522,0.7532,0.9821
4,all,2,2,1146,0.4782,1.0,0.4782,1.039,0.6255,0.4782,0.5,0.4791,1.039,0.6255,4,0.3791,0.7607,0.9808,0.3303,0.7082,0.9945
4,all,4,4,1146,0.4782,1.0,0.4782,1.039,0.6255,0.4782,0.75,0.4791,1.039,0.6255,8,0.3772,0.7605,0.9808,0.3431,0.7164,0.9937
4,all,6,6,1146,0.4782,0.8333,0.4782,1.039,0.6255,0.4782,0.8333,0.4799,1.039,0.6255,12,0.3759,0.761,0.9806,0.3472,0.7196,0.9932
4,E0,2,2,224,0.4777,1.0,0.4866,1.0498,0.6323,0.4777,0.5,0.4777,1.0498,0.6323,4,0.3785,0.7655,0.9787,0.3396,0.6854,0.9992
4,E0,4,4,224,0.4777,1.0,0.4911,1.0498,0.6323,0.4777,0.75,0.4866,1.0498,0.6323,8,0.3751,0.7694,0.9766,0.3279,0.6888,0.9977
4,E0,6,6,224,0.4777,1.0,0.4955,1.0498,0.6323,0.4777,0.8333,0.4866,1.0498,0.6323,12,0.3731,0.7697,0.9761,0.327,0.7007,0.9947
4,E1,2,2,324,0.4691,1.0,0.4691,1.0511,0.6333,0.4691,0.5,0.4691,1.0511,0.6333,4,0.3869,0.7963,0.9621,0.3375,0.6834,0.9992
4,E1,4,4,324,0.4691,1.0,0.4722,1.0511,0.6333,0.4691,0.75,0.4722,1.0511,0.6333,8,0.3817,0.7939,0.9631,0.3402,0.6925,0.9982
4,E1,6,6,324,0.4691,1.0,0.4784,1.0511,0.6333,0.4691,0.8333,0.4753,1.0511,0.6333,12,0.3782,0.7795,0.9703,0.3403,0.6973,0.9975
4,E2,2,2,301,0.4684,0.5,0.4718,1.0458,0.6297,0.4684,0.5,0.4684,1.0458,0.6297,4,0.3818,0.7654,0.9788,0.3529,0.749,0.9843
4,E2,4,4,301,0.4684,0.75,0.4751,1.0458,0.6297,0.4684,0.5,0.4718,1.0458,0.6297,8,0.3803,0.7622,0.9802,0.3572,0.7511,0.9838
4,E2,6,6,301,0.4684,0.6667,0.4751,1.0458,0.6297,0.4684,0.6667,0.4718,1.0458,0.6297,12,0.3794,0.7625,0.98,0.363,0.7527,0.9834
4,E3,2,2,297,0.4478,1.0,0.4512,1.0492,0.6325,0.4478,0.0,0.4478,1.0492,0.6325,4,0.3744,0.7497,0.9852,0.3533,0.7418,0.9871
4,E3,4,4,297,0.4478,1.0,0.4512,1.0492,0.6325,0.4478,0.25,0.4512,1.0492,0.6325,8,0.374,0.7488,0.9855,0.3571,0.7429,0.987
4,E3,6,6,297,0.4478,0.6667,0.4512,1.0492,0.6325,0.4478,0.1667,0.4512,1.0492,0.6325,12,0.3732,0.7483,0.9857,0.3609,0.7437,0.9869
