Scope,League,Source,ModelWeight,Bin,N,MeanPredictedX,ObservedXRate
league,E1,model_only,1.0,0.25-0.30,659,0.27017043477939034,0.25796661608497723
league,E1,model_only,1.0,0.30+,76,0.30817936088369324,0.2236842105263158
league,E1,production_blend,0.4117647058823529,0.00-0.20,10,0.18379048135498888,0.1
league,E1,production_blend,0.4117647058823529,0.20-0.25,110,0.23410640105758437,0.2909090909090909
league,E1,production_blend,0.4117647058823529,0.25-0.30,655,0.27429875912591795,0.2534351145038168
league,E1,production_blend,0.4117647058823529,0.30+,18,0.3053649836520478,0.2222222222222222
league,E1,sweep_w_0,0.0,0.00-0.20,39,0.17266285536583134,0.1282051282051282
league,E1,sweep_w_0,0.0,0.20-0.25,135,0.2338603119829702,0.3037037037037037
league,E1,sweep_w_0,0.0,0.25-0.30,566,0.2762570967734846,0.25265017667844525
league,E1,sweep_w_0,0.0,0.30+,53,0.30728559491912993,0.2641509433962264
league,E1,sweep_w_production,0.4117647058823529,0.00-0.20,10,0.1837904813549513,0.1
league,E1,sweep_w_production,0.4117647058823529,0.20-0.25,110,0.23410640105757022,0.2909090909090909
league,E1,sweep_w_production,0.4117647058823529,0.25-0.30,655,0.2742987591259185,0.2534351145038168
league,E1,sweep_w_production,0.4117647058823529,0.30+,18,0.30536498365204995,0.2222222222222222
league,E1,sweep_w_star,0.0,0.00-0.20,39,0.17266285536583134,0.1282051282051282
league,E1,sweep_w_star,0.0,0.20-0.25,135,0.2338603119829702,0.3037037037037037
league,E1,sweep_w_star,0.0,0.25-0.30,566,0.2762570967734846,0.25265017667844525
league,E1,sweep_w_star,0.0,0.30+,53,0.30728559491912993,0.2641509433962264
league,E2,odds_only,0.0,0.00-0.20,21,0.1813109367571321,0.23809523809523808
league,E2,odds_only,0.0,0.20-0.25,166,0.2339797848218065,0.18674698795180722
league,E2,odds_only,0.0,0.25-0.30,596,0.27425752244812496,0.2600671140939597
league,E2,odds_only,0.0,0.30+,33,0.30663913177211927,0.30303030303030304
league,E2,model_only,1.0,0.00-0.20,0,,
league,E2,model_only,1.0,0.20-0.25,77,0.2429331550095997,0.23376623376623376
league,E2,model_only,1.0,0.25-0.30,678,0.27049608780239076,0.24041297935103245
league,E2,model_only,1.0,0.30+,61,0.30872625608494475,0.32786885245901637
league,E2,production_blend,0.4117647058823529,0.00-0.20,3,0.1888051287695954,0.0
league,E2,production_blend,0.4117647058823529,0.20-0.25,118,0.2376662890702367,0.22033898305084745
league,E2,production_blend,0.4117647058823529,0.25-0.30,684,0.2722584342377531,0.25
league,E2,production_blend,0.4117647058823529,0.30+,11,0.30256839919078327,0.36363636363636365
league,E2,sweep_w_0,0.0,0.00-0.20,21,0.1813109367571321,0.23809523809523808
league,E2,sweep_w_0,0.0,0.20-0.25,166,0.2339797848218065,0.18674698795180722
league,E2,sweep_w_0,0.0,0.25-0.30,596,0.27425752244812496,0.2600671140939597
league,E2,sweep_w_0,0.0,0.30+,33,0.30663913177211927,0.30303030303030304
league,E2,sweep_w_production,0.4117647058823529,0.00-0.20,3,0.18880512876955746,0.0
league,E2,sweep_w_production,0.4117647058823529,0.20-0.25,118,0.2376662890702236,0.22033898305084745
league,E2,sweep_w_production,0.4117647058823529,0.25-0.30,684,0.272258434237753,0.25
league,E2,sweep_w_production,0.4117647058823529,0.30+,11,0.3025683991907885,0.36363636363636365
league,E2,sweep_w_star,0.0,0.00-0.20,21,0.1813109367571321,0.23809523809523808
league,E2,sweep_w_star,0.0,0.20-0.25,166,0.2339797848218065,0.18674698795180722
league,E2,sweep_w_star,0.0,0.25-0.30,596,0.27425752244812496,0.2600671140939597
league,E2,sweep_w_star,0.0,0.30+,33,0.30663913177211927,0.30303030303030304
league,E3,odds_only,0.0,0.00-0.20,8,0.18710204270526576,0.125
league,E3,odds_only,0.0,0.20-0.25,147,0.2338881219754444,0.2857142857142857
league,E3,odds_only,0.0,0.25-0.30,626,0.2756744818727673,0.2507987220447284
league,E3,odds_only,0.0,0.30+,35,0.30637382272957653,0.45714285714285713
league,E3,model_only,1.0,0.00-0.20,0,,
league,E3,model_only,1.0,0.20-0.25,105,0.23988454482089844,0.2857142857142857
league,E3,model_only,1.0,0.25-0.30,645,0.27081434888702016,0.25736434108527134
league,E3,model_only,1.0,0.30+,66,0.3099461023045653,0.30303030303030304
league,E3,production_blend,0.4117647058823529,0.00-0.20,0,,
league,E3,production_blend,0.4117647058823529,0.20-0.25,105,0.23861618210118224,0.24761904761904763
league,E3,production_blend,0.4117647058823529,0.25-0.30,691,0.2727691665313288,0.2633863965267728
league,E3,production_blend,0.4117647058823529,0.30+,20,0.3053662877589265,0.4
league,E3,sweep_w_0,0.0,0.00-0.20,8,0.18710204270526576,0.125
league,E3,sweep_w_0,0.0,0.20-0.25,147,0.2338881219754444,0.2857142857142857
league,E3,sweep_w_0,0.0,0.25-0.30,626,0.2756744818727673,0.2507987220447284
league,E3,sweep_w_0,0.0,0.30+,35,0.30637382272957653,0.45714285714285713
league,E3,sweep_w_production,0.4117647058823529,0.00-0.20,0,,
league,E3,sweep_w_production,0.4117647058823529,0.20-0.25,105,0.23861618210117375,0.24761904761904763
league,E3,sweep_w_production,0.4117647058823529,0.25-0.30,691,0.27276916653132965,0.2633863965267728
league,E3,sweep_w_production,0.4117647058823529,0.30+,20,0.3053662877589242,0.4
league,E3,sweep_w_star,0.0,0.00-0.20,8,0.18710204270526576,0.125
league,E3,sweep_w_star,0.0,0.20-0.25,147,0.2338881219754444,0.2857142857142857
league,E3,sweep_w_star,0.0,0.25-0.30,626,0.2756744818727673,0.2507987220447284
league,E3,sweep_w_star,0.0,0.30+,35,0.30637382272957653,0.45714285714285713
