Source,Selection,GuardedMatches,League,Tau,N,HitRate,N_X,HitRate_X,N_nonX,HitRate_nonX,Share_1X,Share_12,Share_X2,X_removed_rate,X_actual_rate,ExpectedCorrect_per13,TauLabel,IsCurrentRule,Delta_HitRate,Delta_HitRate_CI95_L,Delta_HitRate_CI95_U,Delta_HitRate_X,Delta_HitRate_X_CI95_L,Delta_HitRate_X_CI95_U,Delta_HitRate_nonX,Delta_HitRate_nonX_CI95_L,Delta_HitRate_nonX_CI95_U
odds_only,all,553,E0,0.0,553,0.7685352622061483,138,1.0,415,0.691566265060241,0.6455696202531646,0.0,0.35443037974683544,0.0,0.24954792043399637,9.990958408679928,0.00,False,-0.019891500904159143,-0.05967450271247743,0.02169981916817354,0.44202898550724634,0.3602941176470589,0.5294117647058824,-0.17349397590361448,-0.21359640752844639,-0.13625288499427687
odds_only,all,553,E0,0.1,553,0.7685352622061483,138,1.0,415,0.691566265060241,0.6455696202531646,0.0,0.35443037974683544,0.0,0.24954792043399637,9.990958408679928,0.10,False,-0.019891500904159143,-0.05967450271247743,0.02169981916817354,0.44202898550724634,0.3602941176470589,0.5294117647058824,-0.17349397590361448,-0.21359640752844639,-0.13625288499427687
odds_only,all,553,E0,0.15,553,0.7685352622061483,138,1.0,415,0.691566265060241,0.6455696202531646,0.0,0.35443037974683544,0.0,0.24954792043399637,9.990958408679928,0.15,False,-0.019891500904159143,-0.05967450271247743,0.02169981916817354,0.44202898550724634,0.3602941176470589,0.5294117647058824,-0.17349397590361448,-0.21359640752844639,-0.13625288499427687
odds_only,all,553,E0,0.2,553,0.7667269439421338,138,0.9855072463768116,415,0.6939759036144578,0.6401446654611211,0.0054249547920434,0.35443037974683544,0.0054249547920434,0.24954792043399637,9.96745027124774,0.20,False,-0.02169981916817365,-0.061482820976491825,0.019891500904159143,0.427536231884058,0.3475032566217976,0.5161290322580645,-0.17108433734939765,-0.21025672371638146,-0.13493975903614464
odds_only,all,553,E0,0.25,553,0.7811934900542495,138,0.9202898550724637,415,0.7349397590361446,0.5949367088607594,0.07956600361663653,0.325497287522604,0.07956600361663653,0.24954792043399637,10.155515370705244,0.25,False,-0.007233273056057921,-0.04339963833634719,0.030741410488245968,0.3623188405797101,0.28568948412698414,0.44881889763779526,-0.13012048192771086,-0.1646191646191646,-0.097799511002445
odds_only,all,553,E0,0.3,553,0.7902350813743219,138,0.572463768115942,415,0.8626506024096385,0.4177215189873418,0.39783001808318263,0.1844484629294756,0.39783001808318263,0.24954792043399637,10.273056057866183,0.30,False,0.0018083182640143969,-0.003616636528028905,0.009041591320072317,0.01449275362318836,0.0,0.037878787878787956,-0.002409638554216942,-0.0075949367088608,0.0
odds_only,all,553,E0,1.0,553,0.7884267631103075,138,0.5579710144927537,415,0.8650602409638555,0.4141048824593128,0.40325497287522605,0.18264014466546113,0.40325497287522605,0.24954792043399637,10.249547920433997,1.00,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odds_only,all,793,E1,0.0,793,0.7288776796973518,203,1.0,590,0.635593220338983,0.7301387137452712,0.0,0.2698612862547289,0.0,0.25598991172761665,9.475409836065573,0.00,False,-0.034047919293820894,-0.0693883984867592,0.0025220680958385477,0.4482758620689655,0.3769613775684706,0.5194174757281553,-0.20000000000000007,-0.23287962445252067,-0.16834418710501903
odds_only,all,793,E1,0.1,793,0.7288776796973518,203,1.0,590,0.635593220338983,0.7301387137452712,0.0,0.2698612862547289,0.0,0.25598991172761665,9.475409836065573,0.10,False,-0.034047919293820894,-0.0693883984867592,0.0025220680958385477,0.4482758620689655,0.3769613775684706,0.5194174757281553,-0.20000000000000007,-0.23287962445252067,-0.16834418710501903
odds_only,all,793,E1,0.15,793,0.7288776796973518,203,1.0,590,0.635593220338983,0.7301387137452712,0.0,0.2698612862547289,0.0,0.25598991172761665,9.475409836065573,0.15,False,-0.034047919293820894,-0.0693883984867592,0.0025220680958385477,0.4482758620689655,0.3769613775684706,0.5194174757281553,-0.20000000000000007,-0.23287962445252067,-0.16834418710501903
odds_only,all,793,E1,0.2,793,0.7288776796973518,203,1.0,590,0.635593220338983,0.7301387137452712,0.0,0.2698612862547289,0.0,0.25598991172761665,9.475409836065573,0.20,False,-0.034047919293820894,-0.0693883984867592,0.0025220680958385477,0.4482758620689655,0.3769613775684706,0.5194174757281553,-0.20000000000000007,-0.23287962445252067,-0.16834418710501903
odds_only,all,793,E1,0.25,793,0.7276166456494325,203,0.9802955665024631,590,0.6406779661016949,0.7200504413619168,0.017654476670870115,0.26229508196721313,0.017654476670870115,0.25598991172761665,9.459016393442623,0.25,False,-0.035308953341740223,-0.07061790668348045,0.0012610340479192212,0.4285714285714286,0.3574792960662526,0.5,-0.19491525423728817,-0.2271205402724701,-0.16351036443912292
odds_only,all,793,E1,0.3,793,0.7667087011349306,203,0.5862068965517241,590,0.8288135593220339,0.46279949558638084,0.4098360655737705,0.1273644388398487,0.4098360655737705,0.25598991172761665,9.967213114754099,0.30,False,0.003783102143757877,-0.0050441361916770955,0.01261034047919296,0.03448275862068961,0.010361358901768106,0.060776986286002685,-0.006779661016949157,-0.013746889441877057,-0.0016473111996602042
odds_only,all,793,E1,1.0,793,0.7629255989911727,203,0.5517241379310345,590,0.8355932203389831,0.44388398486759145,0.4401008827238335,0.11601513240857503,0.4401008827238335,0.25598991172761665,9.918032786885245,1.00,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odds_only,all,816,E2,0.0,816,0.7426470588235294,201,1.0,615,0.6585365853658537,0.6752450980392157,0.0,0.3247549019607843,0.0,0.24632352941176472,9.654411764705882,0.00,False,-0.008578431372548989,-0.04534313725490191,0.026960784313725505,0.5522388059701493,0.486618018419489,0.6236585755349728,-0.19186991869918701,-0.22351273661156593,-0.160316201605851
odds_only,all,816,E2,0.1,816,0.7426470588235294,201,1.0,615,0.6585365853658537,0.6752450980392157,0.0,0.3247549019607843,0.0,0.24632352941176472,9.654411764705882,0.10,False,-0.008578431372548989,-0.04534313725490191,0.026960784313725505,0.5522388059701493,0.486618018419489,0.6236585755349728,-0.19186991869918701,-0.22351273661156593,-0.160316201605851
odds_only,all,816,E2,0.15,816,0.7426470588235294,201,1.0,615,0.6585365853658537,0.6752450980392157,0.0,0.3247549019607843,0.0,0.24632352941176472,9.654411764705882,0.15,False,-0.008578431372548989,-0.04534313725490191,0.026960784313725505,0.5522388059701493,0.486618018419489,0.6236585755349728,-0.19186991869918701,-0.22351273661156593,-0.160316201605851
odds_only,all,816,E2,0.2,816,0.7426470588235294,201,1.0,615,0.6585365853658537,0.6752450980392157,0.0,0.3247549019607843,0.0,0.24632352941176472,9.654411764705882,0.20,False,-0.008578431372548989,-0.04534313725490191,0.026960784313725505,0.5522388059701493,0.486618018419489,0.6236585755349728,-0.19186991869918701,-0.22351273661156593,-0.160316201605851
odds_only,all,816,E2,0.25,816,0.7438725490196079,201,0.9850746268656716,615,0.6650406504065041,0.6593137254901961,0.030637254901960783,0.31004901960784315,0.030637254901960783,0.24632352941176472,9.670343137254902,0.25,False,-0.007352941176470562,-0.04289215686274517,0.028186274509803932,0.5373134328358209,0.4693798653482012,0.6091430044416244,-0.18536585365853664,-0.21574803149606303,-0.15459245902678045
odds_only,all,816,E2,0.3,816,0.7475490196078431,201,0.46766169154228854,615,0.8390243902439024,0.4117647058823529,0.4742647058823529,0.11397058823529412,0.4742647058823529,0.24632352941176472,9.718137254901961,0.30,False,-0.003676470588235281,-0.01225490196078427,0.003676470588235281,0.019900497512437776,0.004761904761904745,0.03999999999999998,-0.011382113821138296,-0.019934384000088463,-0.00327332242225864
odds_only,all,816,E2,1.0,816,0.7512254901960784,201,0.44776119402985076,615,0.8504065040650407,0.3958333333333333,0.49754901960784315,0.10661764705882353,0.49754901960784315,0.24632352941176472,9.76593137254902,1.00,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odds_only,all,816,E3,0.0,816,0.7377450980392157,216,1.0,600,0.6433333333333333,0.6838235294117647,0.0,0.3161764705882353,0.0,0.2647058823529412,9.590686274509805,0.00,False,-0.025735294117646967,-0.06375612745098039,0.00980392156862742,0.46759259259259256,0.3973769216964767,0.5333408071748879,-0.20333333333333337,-0.23652223561954755,-0.17212981690440704
