Scope,League,ModelWeight,OddsWeight,IsGridWeight,IsProductionWeight,N,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U,IsOverallOptimum
overall,ALL,0.0,1.0,True,False,2978,0.4882471457353929,1.0250710520770097,0.6154409262796849,0.5735392881128274,0.26171775142436227,0.25453324378777703,0.18966527562394522,0.0,-4.440892098500626e-16,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,True
overall,ALL,0.05,0.95,True,False,2978,0.4889187374076561,1.0252768358303415,0.6155126502511095,0.5369375419744795,0.2621901548090123,0.25453324378777703,0.1896407427320083,0.00020578375333180077,-0.0001858806505500632,0.0005706237465517461,7.172397142451992e-05,-0.00017793395652028753,0.00031989602433362644,False
overall,ALL,0.1,0.9,True,False,2978,0.4865681665547347,1.025584180642918,0.6156566357168156,0.5275352585627938,0.26266255819366235,0.25453324378777703,0.18962296687648345,0.0005131285659083495,-0.0002640655080433818,0.00123625385037589,0.00021570943713067336,-0.0002848860366849837,0.0007107347112966225,False
overall,ALL,0.15,0.85,True,False,2978,0.4865681665547347,1.0259910717901448,0.6158728826768033,0.5211551376762928,0.2631349615783124,0.25453324378777703,0.18961194805737075,0.0009200197131351562,-0.00024150095372248991,0.001993548051990218,0.0004319563971183493,-0.00032008479490712173,0.0011770534734590464,False
overall,ALL,0.2,0.8,True,False,2978,0.48757555406312963,1.0264958489573999,0.6161613911310727,0.5174613834788448,0.2636073649629624,0.25453324378777703,0.18960768627467017,0.0014247968803902111,-0.00011123974948906156,0.0028460073182248963,0.0007204648513877698,-0.00028373636248427424,0.001714619371042411,False
overall,ALL,0.25,0.75,True,False,2978,0.4889187374076561,1.0270971662318273,0.6165221610796235,0.5050369375419744,0.26407976834761243,0.25453324378777703,0.18961018152838174,0.002026114154817682,0.00012605830896699754,0.0037866664228380018,0.0010812347999386018,-0.00017571984387297068,0.002315411377977293,False
overall,ALL,0.3,0.7,True,False,2978,0.4885829415715245,1.0277939615290226,0.616955192522456,0.4983210208193418,0.2645521717322625,0.25453324378777703,0.18961943381850535,0.0027229094520129227,0.000460914472124746,0.00482052755055232,0.0015142662427710674,3.8769184286829995e-06,0.002985032548994626,False
overall,ALL,0.35,0.65,True,False,2978,0.48791134989926127,1.0285854333309297,0.6174604854595699,0.49026192075218267,0.2650245751169125,0.25453324378777703,0.18963544314504108,0.003514381253920007,0.000880975917162713,0.005954621534566582,0.0020195591798849444,0.0002550539244217304,0.003730066159051351,False
overall,ALL,0.4,0.6,True,False,2978,0.487239758226998,1.0294710232798412,0.6180380398909655,0.48690396239086636,0.2654969785015625,0.25453324378777703,0.18965820950798895,0.004399971202831532,0.0013946672308430663,0.007186415729821637,0.002597113611280566,0.0005755480425790494,0.004550912917491936,False
overall,ALL,0.411764705882,0.588235294118,False,True,2978,0.4865681665547347,1.0296930353190563,0.6181844367217387,0.4852249832102082,0.2656081322391239,0.25453324378777703,0.18966454829072152,0.004621983242046657,0.0015290918664169096,0.00749151686936631,0.002743510442053787,0.000661164182650692,0.004755087503707226,False
