League,Variant,FeatureSet,LeagueRepresentation,N,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U,Delta_LogLoss_vs_None,Delta_LogLoss_vs_None_CI95_L,Delta_LogLoss_vs_None_CI95_U,Delta_Brier_vs_None,Delta_Brier_vs_None_CI95_L,Delta_Brier_vs_None_CI95_U,Delta_LogLoss_vs_Ordinal,Delta_LogLoss_vs_Ordinal_CI95_L,Delta_LogLoss_vs_Ordinal_CI95_U,Delta_Brier_vs_Ordinal,Delta_Brier_vs_Ordinal_CI95_L,Delta_Brier_vs_Ordinal_CI95_U
E1,with_odds/league_onehot,with_odds,league_onehot,793,0.45649432534678436,1.0489493524203461,0.6324136019522973,0.5586380832282472,0.27258111704961585,0.25598991172761665,0.19170907631224868,0.009555521484890805,0.001736350284175664,0.01711961620972568,0.006108983175554972,0.0009249073324421736,0.011289881489716571,-0.0007240040806462122,-0.001983486831428516,0.0005625403646757397,-0.0005200718046488584,-0.0013768108088445196,0.0003586385346911552,-0.0007510445635818819,-0.001972025049204246,0.0004863250829269134,-0.000522615645348945,-0.001349006957528842,0.0003290592850611889
E2,Odds,reference,odds,816,0.49754901960784315,1.0195024850891479,0.6105465247547456,0.5294117647058824,0.26498130965671823,0.24632352941176472,0.18488462224472751,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
E2,base/league_none,base,league_none,816,0.4840686274509804,1.0386814774011988,0.6242471149018486,0.45465686274509803,0.2707530662830169,0.24632352941176472,0.18612524660333649,0.01917899231205089,0.007063813460501328,0.03084761866160765,0.013700590147103009,0.005065651056673756,0.02193743201980367,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018699363797303192,-0.0005930371743291141,0.000233480629101845,-0.0001579820810814203,-0.00043815392968557244,0.00012892774937285355
E2,base/league_ordinal,base,league_ordinal,816,0.48161764705882354,1.0388684710391718,0.62440509698293,0.44607843137254904,0.2708723178123671,0.24632352941176472,0.18607597945460794,0.019365985950023923,0.0071107340893744155,0.031048232202641232,0.01385857222818443,0.005225446503931991,0.022088214846638057,0.00018699363797303192,-0.0002334806291018454,0.000593037174329114,0.0001579820810814203,-0.00012892774937285357,0.0004381539296855721,0.0,0.0,0.0,0.0,0.0,0.0
E2,base/league_onehot,base,league_onehot,816,0.4803921568627451,1.038302153559672,0.6240475585391572,0.4644607843137255,0.2709121697859493,0.24632352941176472,0.18599159676984564,0.018799668470524056,0.006917071404675956,0.030414518259856447,0.013501033784411587,0.005009986703946789,0.021676169288698838,-0.0003793238415268352,-0.0017497247498026668,0.0009555993910797636,-0.00019955636269142207,-0.0011392897104683165,0.0007146900823086885,-0.0005663174794998671,-0.0020038386944960184,0.0008048285283875022,-0.0003575384437728424,-0.0013352868024333053,0.0006031825399639616
E2,with_odds/league_none,with_odds,league_none,816,0.48651960784313725,1.0279092737895177,0.6160090999132914,0.5281862745098039,0.2705719707420834,0.24632352941176472,0.18619897955467823,0.008406788700369816,0.0016757347468349948,0.015507908510419308,0.005462575158545868,0.0006802113162524076,0.010250937791025093,0.0,0.0,0.0,0.0,0.0,0.0,0.0002566009265738689,3.955530102263127e-05,0.00048781059448091966,0.00017294743158013937,2.6067948079658288e-05,0.0003234989631797441
E2,with_odds/league_ordinal,with_odds,league_ordinal,816,0.4889705882352941,1.0276526728629438,0.6158361524817113,0.5208333333333334,0.2705366854004365,0.24632352941176472,0.18617806926851493,0.008150187773795947,0.001413068017861463,0.015152080863620925,0.005289627726965729,0.0006107463535161785,0.010062324849177936,-0.0002566009265738689,-0.00048781059448091966,-3.95553010226313e-05,-0.00017294743158013937,-0.00032349896317974416,-2.606794807965835e-05,0.0,0.0,0.0,0.0,0.0,0.0
E2,with_odds/league_onehot,with_odds,league_onehot,816,0.4840686274509804,1.0278069685932032,0.6160317343774874,0.5196078431372549,0.27017579404124953,0.24632352941176472,0.18614882276616684,0.008304483504055327,0.0016500159596072427,0.015021755926917263,0.0054852096227417935,0.0007800720514142269,0.010224999335921197,-0.00010230519631448942,-0.0012980229047248938,0.0010595636954407622,2.2634464195925297e-05,-0.000755903598965832,0.0007956640464655714,0.00015429573025937948,-0.0009649532960702645,0.0012568324158608623,0.00019558189577606466,-0.0005678158737605993,0.0009415399242037378
E3,Odds,reference,odds,816,0.47671568627450983,1.0358208484486044,0.6227250936684132,0.5661764705882353,0.268595195735196,0.2647058823529412,0.19418547649494497,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
E3,base/league_none,base,league_none,816,0.47549019607843135,1.0468752209375727,0.6298278786843275,0.4571078431372549,0.26999947915493094,0.2647058823529412,0.19370588194981914,0.011054372488968234,-0.00016327597043132574,0.021682196065502278,0.007102785015914326,-0.0009247669855287661,0.014640524555070929,0.0,0.0,0.0,0.0,0.0,0.0,-0.00042440751805616905,-0.0008580707282409894,1.4397507603841616e-05,-0.0003256732924996619,-0.0006306408643689893,-1.809444292217634e-05
E3,base/league_ordinal,base,league_ordinal,816,0.47549019607843135,1.0472996284556289,0.6301535519768272,0.45955882352941174,0.2701358520850679,0.2647058823529412,0.19371721631071587,0.011478780007024403,0.000329604721001359,0.022148667303375027,0.007428458308413988,-0.0005007592172589946,0.014916457040228003,0.00042440751805616905,-1.4397507603841619e-05,0.0008580707282409894,0.0003256732924996619,1.8094442922175773e-05,0.0006306408643689891,0.0,0.0,0.0,0.0,0.0,0.0
E3,base/league_onehot,base,league_onehot,816,0.4742647058823529,1.0475306329471399,0.630235594802393,0.4693627450980392,0.27035765498729186,0.2647058823529412,0.19359923292152076,0.011709784498535436,0.0003225297128040206,0.022437079237091925,0.0075105011339797745,-0.0003998403589574179,0.014902236215357736,0.0006554120095672022,-0.0007822423259810696,0.002066117242481663,0.0004077161180654487,-0.0005769541930130933,0.0013690445029099932,0.0002310044915110332,-0.0012169564778075626,0.0017336304501538264,8.204282556578679e-05,-0.0009278174788687032,0.0010881674375585485
E3,with_odds/league_none,with_odds,league_none,816,0.49142156862745096,1.0387560421108821,0.6240339849023004,0.5588235294117647,0.27009849465523905,0.2647058823529412,0.19381617214833496,0.0029351936622776797,-0.004202688792513098,0.010228175279392192,0.0013088912338872216,-0.0036396871105719986,0.006202421596769424,0.0,0.0,0.0,0.0,0.0,0.0,-9.368794333886044e-05,-0.00034064355703309344,0.00017326905615646087,-7.831535537139445e-05,-0.0002477404061370092,9.845236076358731e-05
E3,with_odds/league_ordinal,with_odds,league_ordinal,816,0.4950980392156863,1.038849730054221,0.6241123002576718,0.5575980392156863,0.2701127806116846,0.2647058823529412,0.19381729903884498,0.00302888160561654,-0.0040060565773811395,0.010253906160751614,0.001387206589258616,-0.003559260097674499,0.006228792173867166,9.368794333886044e-05,-0.00017326905615646092,0.00034064355703309344,7.831535537139445e-05,-9.845236076358732e-05,0.00024774040613700915,0.0,0.0,0.0,0.0,0.0,0.0
E3,with_odds/league_onehot,with_odds,league_onehot,816,0.4877450980392157,1.0394769781369673,0.6246727974675463,0.553921568627451,0.27038841273865727,0.2647058823529412,0.1938170616604192,0.003656129688362819,-0.003313029338881801,0.010735793855551956,0.0019477037991331159,-0.0028456299177925413,0.006659752235518129,0.0007209360260851394,-0.0005280629865112629,0.002002953313862127,0.0006388125652458942,-0.0001917735341522092,0.0015076325722208988,0.000627248082746279,-0.0005569675987061485,0.0018121188154953446,0.0005604972098744998,-0.00026113111004331393,0.0013996846092745843
