League,Season,Variant,FeatureSet,LeagueRepresentation,N,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U,Delta_LogLoss_vs_None,Delta_LogLoss_vs_None_CI95_L,Delta_LogLoss_vs_None_CI95_U,Delta_Brier_vs_None,Delta_Brier_vs_None_CI95_L,Delta_Brier_vs_None_CI95_U,Delta_LogLoss_vs_Ordinal,Delta_LogLoss_vs_Ordinal_CI95_L,Delta_LogLoss_vs_Ordinal_CI95_U,Delta_Brier_vs_Ordinal,Delta_Brier_vs_Ordinal_CI95_L,Delta_Brier_vs_Ordinal_CI95_U
E0,2425,Odds,reference,odds,173,0.5780346820809249,0.949308787403607,0.5630013653383769,0.6069364161849711,0.2322441835722958,0.19653179190751446,0.1599231146516667,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
E0,2425,base/league_none,base,league_none,173,0.5606936416184971,1.0296316391562956,0.6163946025565831,0.6242774566473989,0.2828193408842865,0.19653179190751446,0.16640373442372353,0.0803228517526886,0.037355596250938136,0.12022779980026858,0.05339323721820621,0.022074750079545076,0.08226144983644902,0.0,0.0,0.0,0.0,0.0,0.0,0.00034194496112505135,-0.00020618888087872155,0.0009032502343717051,0.0002565615739562599,-0.00013262943753621637,0.0006474024265534388
E0,2425,base/league_ordinal,base,league_ordinal,173,0.5606936416184971,1.0292896941951706,0.6161380409826268,0.6242774566473989,0.28321508901536424,0.19653179190751446,0.1664515220555258,0.07998090679156356,0.03692829574459475,0.11985786702441042,0.05313667564424995,0.021884471948428443,0.08198184616329862,-0.00034194496112505135,-0.0009032502343717053,0.00020618888087872123,-0.0002565615739562599,-0.0006474024265534395,0.00013262943753621613,0.0,0.0,0.0,0.0,0.0,0.0
E0,2425,base/league_onehot,base,league_onehot,173,0.5606936416184971,1.0248244261098747,0.6127504445672172,0.6358381502890174,0.28415084014423675,0.19653179190751446,0.167488540195208,0.07551563870626765,0.0331706410268488,0.11451360209739093,0.04974907922884031,0.019958538162390217,0.07764947155952186,-0.004807213046420955,-0.008562469626792546,-0.000893454873712991,-0.0036441579893659037,-0.006269356518605676,-0.0009510023212763786,-0.004465268085295904,-0.008053603520410374,-0.0006472970047060163,-0.003387596415409644,-0.005899192749049742,-0.000765963713449081
E0,2425,with_odds/league_none,with_odds,league_none,173,0.5491329479768786,0.9977297607935345,0.5940464731293434,0.7109826589595376,0.28152331023314275,0.19653179190751446,0.16554733439646677,0.04842097338992746,0.015106598494922947,0.07911977578235588,0.031045107790966586,0.007571013969154647,0.05258346588854736,0.0,0.0,0.0,0.0,0.0,0.0,7.33202659136678e-05,-0.0005026310771288816,0.0006375637320634313,6.560284205858746e-05,-0.00031750443221004176,0.00044920817701532556
E0,2425,with_odds/league_ordinal,with_odds,league_ordinal,173,0.5491329479768786,0.9976564405276208,0.5939808702872849,0.7109826589595376,0.28169221891960294,0.19653179190751446,0.16558581976387893,0.04834765312401379,0.014856749455470827,0.0792867675654728,0.030979504948908,0.007563327292909272,0.052636889723721506,-7.33202659136678e-05,-0.0006375637320634314,0.0005026310771288816,-6.560284205858746e-05,-0.00044920817701532556,0.0003175044322100417,0.0,0.0,0.0,0.0,0.0,0.0
E0,2425,with_odds/league_onehot,with_odds,league_onehot,173,0.5491329479768786,0.9963410428401401,0.5933754857355229,0.7514450867052023,0.28221742767666474,0.19653179190751446,0.16586810675038588,0.04703225543653311,0.013826224594470055,0.07775784978950236,0.030374120397146043,0.007285182155140596,0.05178494722933682,-0.0013887179533943472,-0.0046232629057244125,0.001743784177535394,-0.0006709873938205435,-0.002827538201214391,0.0014432793996821281,-0.0013153976874806794,-0.0045399564743921015,0.0018974071012943508,-0.000605384551761956,-0.002767862161837209,0.0015441735894048693
E0,2526,Odds,reference,odds,380,0.48947368421052634,1.018547433594444,0.6115122077213377,0.6263157894736842,0.24438459158544004,0.2736842105263158,0.20001913183746162,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
E0,2526,base/league_none,base,league_none,380,0.48157894736842105,1.036234043211994,0.6233162219842661,0.42894736842105263,0.25966263101252135,0.2736842105263158,0.19902493002810898,0.017686609617550086,-0.0068524809268635575,0.04145232479483014,0.01180401426292832,-0.006002538028656262,0.029121917723252063,0.0,0.0,0.0,0.0,0.0,0.0,0.00022744557195775172,-0.0013432092230226456,0.0016753225200330766,0.00016797480039731916,-0.000958846698328114,0.0011973591475559705
E0,2526,base/league_ordinal,base,league_ordinal,380,0.4842105263157895,1.0360065976400363,0.6231482471838687,0.42894736842105263,0.260253709691878,0.2736842105263158,0.19908627997019374,0.017459164045592335,-0.0070774682579530955,0.041370999824303104,0.011636039462531,-0.005912476128327539,0.028927303051342817,-0.00022744557195775172,-0.001675322520033079,0.0013432092230226452,-0.00016797480039731916,-0.0011973591475559708,0.0009588466983281131,0.0,0.0,0.0,0.0,0.0,0.0
