Variant,FeatureSet,LeagueRepresentation,N,Accuracy,LogLoss,Brier,X_top2_rate,X_mean_prob,X_actual_rate,X_brier,Delta_LogLoss_vs_Odds,Delta_LogLoss_vs_Odds_CI95_L,Delta_LogLoss_vs_Odds_CI95_U,Delta_Brier_vs_Odds,Delta_Brier_vs_Odds_CI95_L,Delta_Brier_vs_Odds_CI95_U,Delta_LogLoss_vs_None,Delta_LogLoss_vs_None_CI95_L,Delta_LogLoss_vs_None_CI95_U,Delta_Brier_vs_None,Delta_Brier_vs_None_CI95_L,Delta_Brier_vs_None_CI95_U,Delta_LogLoss_vs_Ordinal,Delta_LogLoss_vs_Ordinal_CI95_L,Delta_LogLoss_vs_Ordinal_CI95_U,Delta_Brier_vs_Ordinal,Delta_Brier_vs_Ordinal_CI95_L,Delta_Brier_vs_Ordinal_CI95_U
Odds,reference,odds,2978,0.4882471457353929,1.0250710520770097,0.6154409262796849,0.5735392881128274,0.2617177514243623,0.25453324378777703,0.18966527562394522,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
base/league_none,base,league_none,2978,0.4738079247817327,1.0467622638035314,0.6301009572627552,0.45433176628609806,0.2700388857192576,0.25453324378777703,0.19030244143483577,0.021691211726521775,0.014354824520687537,0.028326423587893463,0.014660030983070227,0.009538606666786706,0.019309978635080428,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013370457360539767,-0.0004214446449738618,0.00015656921043654675,-0.00010953728418094943,-0.0003117199245455976,9.567474833317705e-05
base/league_ordinal,base,league_ordinal,2978,0.4738079247817327,1.0468959683771368,0.6302104945469361,0.45533915379449297,0.27032324863423346,0.25453324378777703,0.19029151924982193,0.021824916300127173,0.014514398993112914,0.028476960416518107,0.014769568267251176,0.009627061697520872,0.01944636606140085,0.00013370457360539767,-0.0001565692104365468,0.0004214446449738615,0.00010953728418094943,-9.567474833317713e-05,0.0003117199245455975,0.0,0.0,0.0,0.0,0.0,0.0
base/league_onehot,base,league_onehot,2978,0.4717931497649429,1.0464757939542857,0.6299026063035718,0.4694425789120215,0.2710751711953634,0.25453324378777703,0.1903781634104891,0.021404741877276035,0.01402678243945647,0.02809937217486028,0.014461680023886814,0.009283901280338439,0.019188930025593357,-0.0002864698492457407,-0.001142473846445624,0.0005576595431611707,-0.00019835095918341317,-0.0007763761344053266,0.00038091807377532705,-0.0004201744228511384,-0.0012353800893535106,0.0003428790756389728,-0.0003078882433643626,-0.0008616541483228435,0.00020857912594413866
with_odds/league_none,with_odds,league_none,2978,0.4822028206850235,1.0337034720979867,0.6208444688022735,0.5658159838817999,0.26984658882028284,0.25453324378777703,0.1902285962993216,0.008632420020977083,0.004299901146279922,0.012875092173178048,0.005403542522588567,0.002392426115733537,0.008274781709048263,0.0,0.0,0.0,0.0,0.0,0.0,3.938176624629364e-05,-8.142875161515906e-05,0.0001600462607528773,2.6204040776800497e-05,-5.3300362371180854e-05,0.0001065830013759289
with_odds/league_ordinal,with_odds,league_ordinal,2978,0.4845533915379449,1.0336640903317404,0.6208182647614967,0.5624580255204835,0.2698572696800715,0.25453324378777703,0.19022367923002179,0.00859303825473079,0.004230030190792017,0.012835969150362917,0.0053773384818117664,0.0023718431686086698,0.008254969571579158,-3.938176624629364e-05,-0.0001600462607528774,8.142875161515905e-05,-2.6204040776800497e-05,-0.0001065830013759289,5.330036237118085e-05,0.0,0.0,0.0,0.0,0.0,0.0
with_odds/league_onehot,with_odds,league_onehot,2978,0.48052384150436533,1.033660526779848,0.6208765905595589,0.5668233713901948,0.270139191806593,0.25453324378777703,0.19021114357710925,0.008589474702838329,0.004191636315257258,0.012778826225370703,0.005435664279873964,0.0024013911741916833,0.008314753760899742,-4.294531813875402e-05,-0.00069000050236952,0.0005761276545211412,3.212175728539712e-05,-0.0004072965307653553,0.00044716384562957774,-3.5635518924603815e-06,-0.0006312843260170952,0.0006087634867436574,5.832579806219762e-05,-0.0003696832052123095,0.00045792113677558497
